#Masa(kg)	X(m)		Y(m)	X'(m/s)	Y'(m/s)
1.99E30		0		0	0	0
0.330E24	57.9E9		0	0	47900
4.87E24		108.2E9		0	0	35000
5.97E24 	149.6E9 	0 	0 	29800
0.642E24 	227.9E9 	0 	0 	24100
1899E24 	778.6E9 	0 	0 	13100
568E24		1433.5E9 	0 	0 	9700
86.8E24 	2872.5E9 	0 	0 	6800
102E24		4495.1E9 	0 	0 	5400

//Datos transformados.
1	0	0	0	0
1.659E-7	0.387	0	0	1.6081
2.458E-6	0.723	0	0	1.1750
3.001E-6	1	0	0	1.0004
3.228E-7	1.523	0	0	0.8091
9.547E-4	5.205	0	0	0.4398
2.856E-4	9.582	0	0	0.3256
4.364E-5	19.201	0	0	0.2283
5.128E-5	30.047	0	0	0.1813
